Umsteigebauwerke;;;;;;;;;
;;;;Koordinaten GK4;Koordinaten GK4;Koordinaten;Koordinaten;Untergeordnete;
Typ;Nr.;Name;;X;Y;latitude;longitude;Exportnummer;Nr.
;;;;;;;;;
Bauwerk;3;S+U Alexanderplatz Bhf;;4596000;5821830;52.521152;13.412832;;100003
Zwischenpunkt;39;Bahnsteig S5/7/75/3 (Treppe Bahnsteig -Ende zur Empfangshalle);1;4595876;5821876;52.521587;13.411019;9701039
Zwischenpunkt;73;Zwischengeschoss U5/U2 (Treppe zum Zwischengeschoss Unterführung);-3;4596000;5821830;52.521152;13.412832;9701073
Zwischenpunkt;57;Untergeschoss Empfangshalle (Rolltreppe Empfangshalle Nähe Gontardstraße);-1;4595875;5821885;52.521668;13.411007;9701057
Zwischenpunkt;100;Zwischengeschoss U5/U8 (Treppe 1 zum Bahnsteig U8);-4;4596000;5821832;52.521170;13.412832;9701100
Zwischenpunkt;116;Bahnsteig U5 Hönow (Treppe zum Zwischengeschoss U5/Verteiler);-5;4596087;5821892;52.521694;13.414131;9701116
Zugang;142;Zugang (Treppe) Rathaus-/Gontardstraße/Berliner Rathaus;0;4595963;5821760;52.520530;13.412267;9701142
Zwischenpunkt;138;Zwischengeschoss U5/Verteiler (Treppe zur Ladenstraße);-3;4596000;5821830;52.521152;13.412832;9701138
Zwischenpunkt;72;Zwischengeschoss U5/U2 (Treppe 2 zum Bahnsteig U5 Hönow);-3;4596000;5821831;52.521161;13.412832;9701072
Zwischenpunkt;74;Zwischengeschoss U5/U2 (Rolltreppe zum Zwischengeschoss Unterführung);-3;4596000;5821831;52.521161;13.412832;9701074
Zwischenpunkt;80;Zwischengeschoss Unterführung (Rolltreppe zum Bahnsteig U5 Hönow);-1;4596251;5821946;52.522150;13.416562;9701080
Zwischenpunkt;109;Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe 1 zum Zwischengeschoss U5/U2);-5;4596081;5821896;52.521731;13.414044;9701109
Zwischenpunkt;128;Verteiler (Aufzug zum Bahnsteig U5,Bahnsteig U8 und Zugang);-1;4595981;5821779;52.520697;13.412537;9701128
Zwischenpunkt;132;Verteiler (Fahrtreppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-1;4595982;5821779;52.520697;13.412552;9701132
Zwischenpunkt;43;Empfangshalle (Rolltreppe zum Fahrtreppe Bahnsteig -Mitte);0;4595873;5821871;52.521543;13.410973;9701043
Zwischenpunkt;46;Empfangshalle (Treppe zum Bahnsteig -Anfang S5/7/75/3);0;4595918;5821853;52.521373;13.411631;9701046
Zugang;15;Zugang (Empfangshalle) Gontardstraße/Tram;0;4595913;5821816;52.521042;13.411546;9701015
Zwischenpunkt;36;Bahnsteig S5/7/75/3 (Rolltreppe Bahnsteig -Mitte zur Empfangshalle);1;4595876;5821876;52.521587;13.411019;9701036
Zwischenpunkt;63;Bahnsteig U2 (Treppe 2 zum Zwischengeschoss U5/U2);-1;4596068;5821878;52.521571;13.413847;9701063
Zwischenpunkt;56;Untergeschoss Empfangshalle (Treppe zur Empfangshalle);-1;4595875;5821885;52.521668;13.411007;9701056
Zwischenpunkt;61;Bahnsteig U2 (Aufzug zum Zwischengeschoss U5/U2 und Bahnsteig U5 S+U Alexanderplatz Bhf.);-1;4596068;5821877;52.521562;13.413847;9701061
Zwischenpunkt;59;Bahnsteig U2 (Treppe Alexander-/Grunerstraße);-1;4596068;5821878;52.521571;13.413847;9701059
Zwischenpunkt;75;Zwischengeschoss Unterführung (Treppe zum Zwischengeschoss U5/U2);-1;4596257;5821954;52.522221;13.416653;9701075
Zwischenpunkt;102;Zwischengeschoss U5/U8 (Treppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-4;4596000;5821830;52.521152;13.412832;9701102
Zwischenpunkt;101;Zwischengeschoss U5/U8 (Treppe 2 zum Bahnsteig U8);-4;4596000;5821831;52.521161;13.412832;9701101
Zwischenpunkt;107;Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe zum Zwischengeschoss U5/Verteiler);-5;4596082;5821896;52.521731;13.414058;9701107
Zwischenpunkt;114;Bahnsteig U5 Hönow (Aufzug zum Bahnsteig U8 und Verteiler);-5;4596087;5821891;52.521685;13.414131;9701114
Zwischenpunkt;112;Bahnsteig U5 S+U Alexanderplatz Bhf. (Rolltreppe zum Zwischengeschoss Unterführung);-5;4596082;5821896;52.521731;13.414058;9701112
Zwischenpunkt;118;Bahnsteig U5 Hönow (Treppe 1 zum Zwischengeschoss U5/U2);-5;4596087;5821891;52.521685;13.414131;9701118
Zwischenpunkt;136;Zwischengeschoss U5/Verteiler (Treppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-3;4596000;5821831;52.521161;13.412832;9701136
Zugang;18;Zugang (Empfangshalle) Dircksen-/Karl-Liebknecht-Straße;0;4595854;5821932;52.522094;13.410711;9701018
ÖV;5;Bahnsteig Gleis 3/4 S5,S7,S75,S3;1;4595876;5821876;52.521587;13.411019;9701005
Zwischenpunkt;50;Empfangshalle (Rolltreppe zum Bahnsteig -Ende S5/S7/S75/S3);0;4595849;5821919;52.521978;13.410633;9701050
Zwischenpunkt;30;Bahnsteig (Rolltreppe Bahnsteig -Anfang zur Empfangshalle);1;4595884;5821885;52.521667;13.411139;9701030
Zwischenpunkt;29;Bahnsteig (Treppe zur Empfangshalle);1;4595885;5821884;52.521657;13.411154;9701029
Zwischenpunkt;44;Empfangshalle (Rolltreppe zum  Bahnsteig -Ende);0;4595841;5821904;52.521845;13.410511;9701044
Zugang;16;Zugang (Empfangshalle) Gontardstraße/Fernsehturm;0;4595877;5821853;52.521380;13.411027;9701016
Zugang;144;Zugang (Treppe) Alexanderplatz/ Karl-Liebknecht-Straße/Galeria Kaufhof;0;4595940;5821891;52.521711;13.411966;9701144
Zugang;146;Zugang (Treppe) Alexander-/Memhard-/Karl-Liebknecht-Straße/Galeria Kaufhof;0;4596024;5821949;52.522217;13.413219;9701146
Zwischenpunkt;139;Zwischengeschoss U5/Verteiler (Treppe 1 zum Verteiler);-3;4596000;5821830;52.521152;13.412832;9701139
Zwischenpunkt;55;Untergeschoss Empfangshalle (Aufzug zur Empfangshalle und zum Bahnsteig);-1;4595875;5821885;52.521668;13.411007;9701055
Zwischenpunkt;82;Zwischengeschoss Unterführung (Treppe Alexanderplatz/Alexanderstraße);-1;4596259;5821957;52.522247;13.416683;9701082
Zwischenpunkt;97;Bahnsteig U8 (Aufzug zum Bahnsteig U5 Hönow und zum Verteiler);-3;4595979;5821814;52.521012;13.412518;9701097
Zwischenpunkt;99;Bahnsteig U8 (Treppe 2 zum Verteiler);-3;4595980;5821813;52.521003;13.412532;9701099
Zwischenpunkt;104;Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe zum Zwischengeschoss U5/U8);-5;4596082;5821895;52.521722;13.414058;9701104
Zwischenpunkt;106;Bahnsteig U5 S+U Alexanderplatz Bhf. (Rolltreppe zum Verteiler);-5;4596082;5821895;52.521722;13.414058;9701106
Zwischenpunkt;108;Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe 2 zum Zwischengeschoss U5/U2);-5;4596082;5821896;52.521731;13.414058;9701108
Zwischenpunkt;113;Bahnsteig U5 Hönow (Treppe zum Zwischengeschoss U5/U8);-5;4596086;5821892;52.521694;13.414116;9701113
Zugang;12;Zugang (Treppe) Alexander-/Grunerstraße;0;4596129;5821799;52.520851;13.414723;9701012
ÖV;1;Bahnsteig Gleis 1+2 U2;-1;4596068;5821877;52.521562;13.413847;9701001
ÖV;4;Bahnsteig Gleis 2+4 U5 Richtung Hönow;-5;4596086;5821891;52.521685;13.414116;9701004
Zwischenpunkt;37;Bahnsteig S5/7/75/3 (Treppe Bahnsteig -Mitte zur Empfangshalle);1;4595875;5821877;52.521596;13.411004;9701037
Zwischenpunkt;33;Bahnsteig S5/7/75/3 (Aufzug zur Empfangshalle);1;4595876;5821876;52.521587;13.411019;9701033
Zugang;14;Zugang (Treppe) Gruner-/Dircksen-/Alexanderstraße;0;4596014;5821754;52.520467;13.413016;9701014
Zwischenpunkt;41;Empfangshalle (Treppe zum Bahnsteig);0;4595906;5821842;52.521276;13.411451;9701041
Zugang;19;Zugang (Empfangshalle) Dircksenstraße;0;4595905;5821880;52.521618;13.411447;9701019
ÖV;2;Bahnsteig Gleis 1+2 U8;-3;4595979;5821814;52.521012;13.412518;9701002
Zwischenpunkt;38;Bahnsteig S5/7/75/3 (Rolltreppe Bahnsteig -Ende zur Empfangshalle);1;4595876;5821876;52.521587;13.411019;9701038
Zwischenpunkt;159;Ladenstr. (Treppe Dirksenstraße/Alexanderplatz);-2;4596000;5821830;52.521152;13.412832;9701159
Zwischenpunkt;156;Zwischengeschoss U8 (Treppe Alexanderplatz/ Karl-Liebknecht-Straße/Galeria Kaufhof);-2;4596001;5821831;52.521161;13.412847;9701156
Zugang;141;Zugang (Empfangshalle) Dircksen-/Rathausstraße;0;4595942;5821845;52.521297;13.411982;9701141
Zwischenpunkt;64;Zwischengeschoss U5/U2 (Treppe 1 zum Bahnsteig U2);-3;4596000;5821830;52.521152;13.412832;9701064
Zwischenpunkt;95;Bahnsteig U8 (Treppe 1 zum Verteiler);-3;4595980;5821813;52.521003;13.412532;9701095
Zwischenpunkt;103;Zwischengeschoss U5/U8 (Treppe zum Bahnsteig U5 Hönow);-4;4596000;5821831;52.521161;13.412832;9701103
Zwischenpunkt;115;Bahnsteig U5 Hönow (Rolltreppe zum Verteiler);-5;4596086;5821891;52.521685;13.414116;9701115
Zwischenpunkt;120;Bahnsteig U5 Hönow (Treppe zum Zwischengeschoss Unterführung);-5;4596086;5821891;52.521685;13.414116;9701120
Zwischenpunkt;122;Ladenstr. (Treppe zum Verteiler);-2;4596026;5821849;52.521318;13.413220;9701122
Zwischenpunkt;42;Empfangshalle (Rolltreppe zum Bahnsteig -Anfang);0;4595897;5821845;52.521305;13.411319;9701042
Zugang;8;Zugang (Treppe) Alexanderplatz/Alexanderstraße;0;4596149;5821944;52.522150;13.415059;9701008
Zwischenpunkt;54;Empfangshalle (Rolltreppe Nähe Dircksenstraße zum UG Empfangshalle );0;4595929;5821840;52.521254;13.411789;9701054
Zwischenpunkt;49;Empfangshalle (Treppe zum Bahnsteig -Mitte S5/7/75/3);0;4595887;5821884;52.521657;13.411183;9701049
Zwischenpunkt;34;Bahnsteig S5/7/75/3 (Treppe Bahnsteig -Anfang zur Empfangshalle);1;4595877;5821876;52.521587;13.411033;9701034
Zwischenpunkt;130;Verteiler (Treppe 1 zum Zwischengeschoss U5/Verteiler);-1;4595981;5821779;52.520697;13.412537;9701130
Zwischenpunkt;71;Zwischengeschoss U5/U2 (Treppe 2 zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-3;4596000;5821830;52.521152;13.412832;9701071
Zwischenpunkt;77;Zwischengeschoss Unterführung (Treppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-1;4596257;5821955;52.522230;13.416653;9701077
Zwischenpunkt;96;Bahnsteig U8 (Aufzug zum Bahnsteig U5 Alexanderplatz,Verteiler und Zugang);-3;4595979;5821813;52.521003;13.412517;9701096
Zwischenpunkt;117;Bahnsteig U5 Hönow (Treppe 2 zum Zwischengeschoss U5/U2);-5;4596087;5821891;52.521685;13.414131;9701117
Zwischenpunkt;134;Verteiler (Treppe zur Ladenstraße);-1;4595981;5821779;52.520697;13.412537;9701134
Zwischenpunkt;137;Zwischengeschoss U5/Verteiler (Treppe zum Bahnsteig U5 Hönow);-3;4596000;5821830;52.521152;13.412832;9701137
Zwischenpunkt;135;Verteiler (Treppe Gruner-/Dircksen-/Alexanderstraße);-1;4595982;5821777;52.520679;13.412551;9701135
Zwischenpunkt;31;Bahnsteig (Rolltreppe Bahnsteig -Mitte zur Empfangshalle);1;4595884;5821884;52.521658;13.411139;9701031
Zwischenpunkt;45;Empfangshalle (Aufzug zum Bahnsteig S5/7/75/3);0;4595954;5821817;52.521043;13.412150;9701045
Zwischenpunkt;32;Bahnsteig (Rolltreppe Bahnsteig -Ende zur Empfangshalle);1;4595884;5821885;52.521667;13.411139;9701032
Zugang;22;Zugang (Aufzug) U5/U2;0;4596129;5821932;52.522046;13.414761;9701022
Zwischenpunkt;28;Bahnsteig Gleis 1/2 (Aufzug);1;4595884;5821885;52.521667;13.411139;9701028
Zugang;13;Zugang (Treppe) Grunerstraße/Weltzeituhr;0;4596055;5821817;52.521026;13.413638;9701013
Zwischenpunkt;53;Empfangshalle (Rolltreppe Nähe Gontardstraße zum UG Empfangshalle );0;4595917;5821828;52.521149;13.411609;9701053
ÖV;3;Bahnsteig Gleis 1+3 U5 Richtung S+U Alexanderplatz;-5;4596082;5821895;52.521722;13.414058;9701003
ÖV;6;Bahnsteig Gleis 1/2;1;4595884;5821885;52.521667;13.411139;9701006
Zwischenpunkt;76;Zwischengeschoss Unterführung (Rolltreppe zum Zwischengeschoss U5/U2);-1;4596249;5821941;52.522105;13.416531;9701076
Zwischenpunkt;98;Bahnsteig U8 (Treppe 2 zum Zwischengeschoss U5/U8);-3;4595979;5821813;52.521003;13.412517;9701098
Zugang;145;Zugang (Treppe) Dirksen-/Gontardstraße/Fernsehturm;0;4595926;5821871;52.521533;13.411754;9701145
Zugang;147;Zugang (Treppe) Dirksenstraße/ Alexanderplatz;0;4596024;5821882;52.521615;13.413200;9701147
Zwischenpunkt;154;Bahnsteig U8 (Treppe zum Zwischengeschoss U8);-3;4596001;5821831;52.521161;13.412847;9701154
Zwischenpunkt;152;Verteiler (Treppe Rathaus-/Gonthardstraße/Berliner Rathaus);-1;4596000;5821830;52.521152;13.412832;9701152
Zwischenpunkt;155;Zwischengeschoss U8 (Treppe zum Bahnsteig U8);-2;4596001;5821830;52.521152;13.412846;9701155
Zwischenpunkt;69;Zwischengeschoss U5/U2 (Treppe 1 zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-3;4596000;5821830;52.521152;13.412832;9701069
Zwischenpunkt;94;Bahnsteig U8 (Treppe 1 zum Zwischengeschoss U5/U8);-3;4595979;5821813;52.521003;13.412517;9701094
Zwischenpunkt;131;Verteiler (Treppe2 zum Zwischeneschoss U5/Verteiler);-1;4595981;5821779;52.520697;13.412537;9701131;
Zugang und ÖV;23;Bushaltestelle Dircksenstraße vor Karl-Liebknecht-Straße;0;4595740;5822010;52.522815;13.409054;9701023;
Zwischenpunkt;47;Empfangshalle (Rolltreppe zum Bahnsteig -Anfang S5/7/75/3);0;4595910;5821857;52.521410;13.411514;9701047;
Zwischenpunkt;51;Empfangshalle (Treppe zum Bahnsteig -Ende S5/7/75/3);0;4595853;5821920;52.521986;13.410693;9701051;
Zwischenpunkt;40;Empfangshalle (Aufzug zum Bahnsteig und UG Empfangshalle);0;4595941;5821806;52.520947;13.411956;9701040;
Zwischenpunkt;52;Empfangshalle (Treppe zum Untergeschoss Empfangshalle);0;4595938;5821819;52.521064;13.411915;9701052;
Zugang und ÖV;24;Bushaltestelle Karl-Liebknecht-Str. hinter Rosa-Luxemburg-Straße;0;4595675;5821899;52.521829;13.408065;9701024;
Zwischenpunkt;35;Bahnsteig S5/7/75/3 (Rolltreppe Bahnsteig -Anfang zur Empfangshalle);1;4595876;5821876;52.521587;13.411019;9701035;
Zwischenpunkt;67;Zwischengeschoss U5/U2 (Aufzug zum Bahnsteig U2,Bahnsteig U5 Hönow und Zugang);-3;4596000;5821830;52.521152;13.412832;9701067;
Zwischenpunkt;48;Empfangshalle (Rolltreppe zur Bahnsteigmitte S5/S7/S75/S3);0;4595891;5821884;52.521656;13.411242;9701048;
Zwischenpunkt;158;Bahnsteig U2 (Treppe Alexander-/Memhard-/Karl-Liebknecht-Straße/Galeria Kaufhof);-1;4596001;5821831;52.521161;13.412847;9701158;
Zwischenpunkt;157;Zwischengeschoss U8 (Treppe Dirksen-/Gontardstraße/Fernsehturm);-2;4596001;5821831;52.521161;13.412847;9701157;
;;;;;;;;;
Bauwerk;5;S+U Friedrichstraße Bhf.;;4594350;5821680;52.520092;13.388488;;100001
ÖV;4;Bahnsteig Gleis 3/4;3;4594275;5821686;52.520159;13.387385;9702004;
Zwischenpunkt;42;Zwischengeschoss Georgenstraße (Treppe2 zum Bahnsteig U6);-2;4594350;5821680;52.520092;13.388488;9702042;
Zwischenpunkt;43;Zwischengeschoss Georgenstraße (Treppe Friedrichstraße/Georgenstraße/S-Bahn);-2;4594350;5821680;52.520092;13.388488;9702043
Zwischenpunkt;59;Treppenabsatz Georgenstraße (Treppe zum Bahnsteig S1/2/25);-1;4594350;5821680;52.520092;13.388488;9702059
Zugang;17;Zugang (Treppe U6) Georgenstraße;0;4594275;5821649;52.519827;13.387375;9702017
Zugang;8;Zugang (Treppe) Reichstagufer;0;4594201;5821717;52.520450;13.386304;9702008
Zwischenpunkt;64;Ladenstraße/Verteiler S1/2/25 (Treppe zum Bahnsteig S1/2/25);1;4594349;5821679;52.520083;13.388473;9702064
Zwischenpunkt;83;Zwischenebene (Aufzug zur Ladenstraße und zum Bahnsteig S5/7/75/3);2;4594350;5821679;52.520083;13.388488;9702083
Zwischenpunkt;71;Ladenstr.aße(Treppe zum Zwischengeschoss Ladenstraße);0;4594349;5821679;52.520083;13.388473;9702071
Zwischenpunkt;73;Ladenstraße (Rolltreppe zum Bahnsteig Gleis 3,4);0;4594349;5821679;52.520083;13.388473;9702073
Zwischenpunkt;79;Zwischenebene (Treppe1  zum Bahnsteig S5/7/75/3);2;4594350;5821680;52.520092;13.388488;9702079
Zwischenpunkt;87;Bahnsteig S5/7/75/3 (Rolltreppe zur Ladenstraße/Verteiler S1/2/25);3;4594349;5821679;52.520083;13.388473;9702087
Zwischenpunkt;92;Brücke (Treppe zum Bahnsteig S5/7/75/3);2;4594350;5821680;52.520092;13.388488;9702092
Zwischenpunkt;88;Bahnsteig S5/7/75/3 (Treppe2 zur Zwischenebene);3;4594349;5821680;52.520092;13.388473;9702088
Zwischenpunkt;97;Bahnsteig Gleis 3/4 (Treppe zur Ladenstraße);3;4594350;5821680;52.520092;13.388488;9702097
Zwischenpunkt;100;Bahnsteig Gleis 1/2  (Aufzug zur Ladenstraße);3;4594350;5821680;52.520092;13.388488;9702100
Zwischenpunkt;102;Bahnsteig Gleis 1/2  (Rolltreppe zum Zwischengeschoss Ladenstraße);3;4594350;5821680;52.520092;13.388488;9702102
Zwischenpunkt;32;Bahnsteig U6 (Treppe2 zum Zwischengeschoss Georgenstraße);-3;4594349;5821679;52.520083;13.388473;9702032
Zugang;7;Zugang (Treppe) Schiffbauerdamm;0;4594107;5821756;52.520817;13.384931;9702007
Zwischenpunkt;52;Bahnsteig S1/2/25 (Rolltreppe zum Zwischengeschoss Spreeufer);-3;4594349;5821679;52.520083;13.388473;9702052
Zwischenpunkt;103;Zwischengeschoss Ladenstraße (Treppe zur Zwischenebene);1;4594350;5821680;52.520092;13.388488;9702103
Zwischenpunkt;28;Bahnsteig U6 (Rolltreppe zum Zwischengeschoss Spreeufer);-3;4594349;5821680;52.520092;13.388473;9702028
Zwischenpunkt;56;Bahnsteig S1/2/25 (Aufzug zur Ladenstraße);-3;4594350;5821680;52.520092;13.388488;9702056
Zugang;9;Zugang (Ladenstraße) Tränenpalast;0;4594236;5821735;52.520606;13.386824;9702009
Zwischenpunkt;39;Zwischengeschoss Spreeufer (Rolltreppe zum Bahnsteig S1/2/25);-1;4594350;5821679;52.520083;13.388488;9702039
Zugang;10;Zugang (Ladenstraße) Tränenpalast/Taxistand;0;4594289;5821720;52.520462;13.387601;9702010
Zwischenpunkt;72;Ladenstraße (Aufzug zum Bahnsteig S1/2/25);0;4594350;5821680;52.520092;13.388488;9702072
Zwischenpunkt;76;Ladenstraße (Aufzug zum Bahnsteig Gleis 1/2);0;4594349;5821680;52.520092;13.388473;9702076
Zwischenpunkt;105;Zwischengeschoss Ladenstraße (Treppe Friedrichstraße);1;4594349;5821680;52.520092;13.388473;9702105
Zwischenpunkt;70;Durchgang (Treppe zum Bahnsteig S5/7/75/3);0;4594349;5821679;52.520083;13.388473;9702070
Zugang;22;Zugang (Ladenstr.) Georgenstraße/Bundespolizei;0;4594214;5821680;52.520116;13.386485;9702022
Zwischenpunkt;44;Zwischengeschoss Georgenstraße (Aufzug Zwischengeschoss Ladenstraße/Zugang);-2;4594350;5821679;52.520083;13.388488;9702044
Zwischenpunkt;41;Zwischengeschoss Georgenstraße (Aufzug zum Bahnsteig U6);-2;4594350;5821680;52.520092;13.388488;9702041
Zwischenpunkt;37;Zwischengeschoss Spreeufer (Treppe Reichstagufer/S1/2/25);-1;4594350;5821680;52.520092;13.388488;9702037
Zwischenpunkt;82;Zwischenebene (Rolltreppe zum Bahnsteig S5/7/75/3);2;4594350;5821680;52.520092;13.388488;9702082
Zwischenpunkt;33;Zwischengeschoss Spreeufer (Treppe zum Bahnsteig U6);-1;4594350;5821679;52.520083;13.388488;9702033
Zugang;13;Zugang (Durchgang) Friedrich-/Georgenstraße;0;4594357;5821660;52.519911;13.388585;9702013
Zugang und ÖV;25;Tramsteig Friedrichstraße vor Dorotheenstraße;0;4594341;5821603;52.519402;13.388334;9702025
Zwischenpunkt;53;Bahnsteig S1/2/25 (Rolltreppe1 zur Ladenstraße/Verteiler S1/2/25);-3;4594349;5821679;52.520083;13.388473;9702053
Zwischenpunkt;63;Ladenstraße/Verteiler S1/2/25 (Rolltreppe2 zum Bahnsteig S1/2/25);1;4594349;5821679;52.520083;13.388473;9702063
Zwischenpunkt;91;Bahnsteig S5/7/75/3 (Treppe zum Durchgang);3;4594349;5821679;52.520083;13.388473;9702091
Zwischenpunkt;94;Brücke (Treppe Schiffbauerdamm);2;4594350;5821680;52.520092;13.388488;9702094
Zwischenpunkt;98;Bahnsteig Gleis 3/4 (Rolltreppe zum Zwischengeschoss Ladenstraße);3;4594350;5821680;52.520092;13.388488;9702098
Zwischenpunkt;104;Zwischengeschoss Ladenstraße (Treppe zur Ladenstraße);1;4594350;5821680;52.520092;13.388488;9702104
Zwischenpunkt;107;Zwischengeschoss Ladenstraße (Rolltreppe zum Bahnsteig Gleis 1/2);1;4594350;5821679;52.520083;13.388488;9702107
Zwischenpunkt;50;Treppenabsatz Ladenstraße (Rolltreppe zur Ladenstraße);-1;4594350;5821680;52.520092;13.388488;9702050
ÖV;5;Bahnsteig Gleis 1/2;3;4594275;5821678;52.520087;13.387383;9702005
Zwischenpunkt;38;Zwischengeschoss Spreeufer (Treppe  zum Bahnsteig S1/2/25);-1;4594350;5821679;52.520083;13.388488;9702038
Zugang und ÖV;24;Bushaltestelle Friedrichstraße vor Am Weidendamm;0;4594340;5821714;52.520399;13.388350;9702024
Zugang;20;Zugang (Treppe) Friedrichstraße/Am Weidendamm;0;4594341;5821822;52.521370;13.388396;9702020
Zugang;19;Zugang (Treppe) Friedrich-/Georgen-/Dorotheenstraße;0;4594363;5821661;52.519919;13.388674;9702019
Zwischenpunkt;34;Zwischengeschoss Spreeufer (Rolltreppe zum Bahnsteig U6);-1;4594350;5821680;52.520092;13.388488;9702034
Zwischenpunkt;27;Bahnsteig U6 (Treppe zum Zwischengeschoss Spreeufer);-3;4594349;5821679;52.520083;13.388473;9702027
Zwischenpunkt;66;Ladenstraße/Verteiler S1/2/25 (Treppe zur Ladenstraße);1;4594349;5821679;52.520083;13.388473;9702066
Zwischenpunkt;89;Bahnsteig S5/7/75/3 (Rolltreppe zur Zwischenebene);3;4594350;5821680;52.520092;13.388488;9702089
Zwischenpunkt;81;Zwischenebene (Treppe2 zum Bahnsteig S5/7/75/3);2;4594350;5821680;52.520092;13.388488;9702081
Zwischenpunkt;96;Bahnsteig Gleis 3/4 (Aufzug zur Ladenstraße);3;4594350;5821679;52.520083;13.388488;9702096
Zwischenpunkt;95;Bahnsteig Gleis 3/4 (Rolltreppe zur Ladenstraße);3;4594350;5821680;52.520092;13.388488;9702095
